City,Date,Air Quality
Los Angeles,2022-12-03,92
Los Angeles,2022-12-04,97
Los Angeles,2022-12-05,121
Los Angeles,2022-12-06,104
Los Angeles,2022-12-07,126
Los Angeles,2022-12-08,138
Los Angeles,2022-12-09,146
